Name	VoxCeleb2 ID	VGGFace2 ID	Gender	Set	Nationality
Amanda_Crew 	id00381 	n000381 	f 	dev	canadian
Amanda_Knox 	id00383 	n000383 	f 	dev	unsure: italian / american
Amanda_Palmer 	id00385 	n000385 	f 	dev	american
Amanda_Redman 	id00386 	n000386 	f 	dev	unknown
Amanda_Righetti 	id00387 	n000387 	f 	dev	american
Amanda_Schull 	id00388 	n000388 	f 	dev	american
Amar_Ghoul 	id00389 	n000389 	m 	dev	algerian
Amar_Osim 	id00390 	n000390 	m 	dev	unsure: qatari / herzegovinian / bosnian
Amare_Stoudemire 	id00391 	n000391 	m 	dev	american
Amaury_Vassili 	id00393 	n000393 	m 	dev	french
Amber_Heard 	id00395 	n000395 	f 	dev	american
Amber_Le_Bon 	id00397 	n000397 	f 	dev	unknown
Amber_Stevens 	id00398 	n000398 	f 	dev	unsure: greek / american
Amber_Valletta 	id00399 	n000399 	f 	dev	american
Amel_Bent 	id00401 	n000401 	f 	dev	french
Amelia_Vega 	id00402 	n000402 	f 	dev	dominican
Amelle_Berrabah 	id00403 	n000403 	f 	dev	unknown
America_Olivo 	id00405 	n000405 	f 	dev	american
Amerie 	id00406 	n000406 	f 	dev	american
Ami_James 	id00407 	n000407 	m 	dev	american
Amien_Rais 	id00409 	n000409 	m 	dev	indonesian
Amira_Casar 	id00411 	n000411 	f 	dev	unknown
Amit_Sadh 	id00412 	n000412 	m 	dev	indian
Amit_Shah 	id00413 	n000413 	m 	dev	indian
Amjad_Ali_Khan 	id00414 	n000414 	m 	dev	indian
Amr_Shabana 	id00415 	n000415 	m 	dev	unknown
Amrinder_Gill 	id00416 	n000416 	m 	dev	unknown
Amruta_Khanvilkar 	id00417 	n000417 	f 	dev	indian
Amy_Acker 	id00418 	n000418 	f 	dev	american
Amy_Adams 	id00419 	n000419 	f 	test	american
Amy_Brenneman 	id00420 	n000420 	f 	dev	american
Amy_Diamond 	id00421 	n000421 	f 	dev	swedish
Amy_Dumas 	id00422 	n000422 	f 	dev	american
Amy_Fisher 	id00423 	n000423 	f 	dev	american
Amy_Huberman 	id00425 	n000425 	f 	dev	irish
Amy_Paffrath 	id00426 	n000426 	f 	dev	american
Amy_Pascal 	id00427 	n000427 	f 	dev	american
Amy_Robach 	id00428 	n000428 	f 	dev	unknown
Amy_Smart 	id00429 	n000429 	f 	dev	american
Amy_Tan 	id00430 	n000430 	f 	dev	unsure: chinese / american
Amy_Van_Dyken 	id00431 	n000431 	f 	dev	american
Amy_Williams 	id00432 	n000432 	f 	dev	british
Amélie_Mauresmo 	id00434 	n000434 	f 	dev	unsure: australian / french
Amélie_Nothomb 	id00435 	n000435 	f 	dev	belgian
An_Jeong-hwan 	id00436 	n000436 	m 	dev	unknown
An_Lemmens 	id00437 	n000437 	f 	dev	unknown
Ana_Beatriz_Barros 	id00438 	n000438 	f 	dev	brazilian
Ana_Hickmann 	id00444 	n000444 	f 	dev	brazilian
Ana_Layevska 	id00445 	n000445 	f 	dev	unsure: russian / mexican
Ana_Moura 	id00448 	n000448 	f 	dev	unsure: dutch / portuguese
Ana_Patricia_Botin 	id00449 	n000449 	f 	dev	unknown
Ana_Paula_Arósio 	id00450 	n000450 	f 	dev	brazilian
Ana_de_la_Reguera 	id00456 	n000456 	f 	dev	mexican
Anahí_de_Cardenas 	id00457 	n000457 	f 	dev	peruvian
Analeigh_Tipton 	id00458 	n000458 	f 	dev	american
Anand_Mahindra 	id00459 	n000459 	m 	dev	unknown
Ananda_Lewis 	id00460 	n000460 	f 	dev	american
Ananya 	id00461 	n000461 	f 	dev	indian
Anastacia 	id00462 	n000462 	f 	dev	american
Anastasia_Volochkova 	id00463 	n000463 	f 	dev	russian
Anastasia_Zampounidis 	id00464 	n000464 	f 	dev	unsure: german / greek
Anaïs_Demoustier 	id00465 	n000465 	f 	dev	french
Anders_Fannemel 	id00467 	n000467 	m 	dev	norwegian
Anders_Osborne 	id00468 	n000468 	m 	dev	american
Anderson_Cooper 	id00469 	n000469 	m 	dev	american
Andie_MacDowell 	id00472 	n000472 	f 	dev	american
Andien 	id00473 	n000473 	f 	dev	indonesian
Andre_Berto 	id00475 	n000475 	m 	dev	unsure: haitian / american
Andre_Iguodala 	id00476 	n000476 	m 	dev	american
Andre_Ward 	id00478 	n000478 	m 	dev	american
Andrea_Agnelli 	id00479 	n000479 	m 	dev	italian
Andrea_Bargnani 	id00481 	n000481 	m 	dev	italian
Andrea_Berg 	id00482 	n000482 	f 	dev	german
Andrea_Bocelli 	id00483 	n000483 	m 	dev	italian
Andrea_Corr 	id00484 	n000484 	f 	dev	irish
Andrea_Elisabeth_Rudolph 	id00486 	n000486 	f 	dev	danish
Andrea_Jeremiah 	id00488 	n000488 	f 	dev	indian
Andrea_Kaiser 	id00489 	n000489 	f 	dev	german
Andrea_Mandorlini 	id00490 	n000490 	m 	dev	italian
Andrea_McLean 	id00491 	n000491 	f 	dev	scottish
Andrea_Mitchell 	id00492 	n000492 	f 	dev	american
Andrea_Nahles 	id00494 	n000494 	f 	dev	german
Andrea_Osvárt 	id00495 	n000495 	f 	dev	hungarian
Andrea_Parker 	id00496 	n000496 	f 	dev	american
Andrea_Ranocchia 	id00498 	n000498 	m 	dev	italian
Andrea_Sawatzki 	id00500 	n000500 	f 	dev	german
Andrea_Serna 	id00501 	n000501 	f 	dev	colombian
Andrea_Tantaros 	id00502 	n000502 	f 	dev	american
Andrea_Veresova 	id00503 	n000503 	f 	dev	unknown
Andrea_Ypsilanti 	id00504 	n000504 	f 	dev	german
Andrea_Šušnjara 	id00505 	n000505 	f 	dev	croatian
Andreas_Birnbacher 	id00506 	n000506 	m 	dev	german
Andreas_Dresen 	id00507 	n000507 	m 	dev	german
Andreas_Gabalier 	id00508 	n000508 	m 	dev	austrian
Andreas_Jancke 	id00509 	n000509 	m 	dev	german
Andreas_Lundstedt 	id00510 	n000510 	m 	dev	swedish
Andreas_Pinkwart 	id00512 	n000512 	m 	dev	german
Andreas_Scheuer 	id00513 	n000513 	m 	dev	german
Andreas_Seppi 	id00514 	n000514 	m 	dev	italian
Andreea_Mitu 	id00515 	n000515 	f 	dev	unknown
Andrei_Arlovski 	id00516 	n000516 	m 	dev	belarusian
Andrei_Kirilenko 	id00517 	n000517 	m 	dev	unsure: russian / american
Andrew_Bynum 	id00518 	n000518 	m 	dev	american
Andrew_Fifita 	id00519 	n000519 	m 	dev	unknown
Andrew_Flintoff 	id00520 	n000520 	m 	dev	unknown
Andrew_Lincoln 	id00521 	n000521 	m 	dev	unknown
Andrew_Lloyd_Webber 	id00522 	n000522 	m 	dev	unknown
Andrew_Strauss 	id00524 	n000524 	m 	dev	unknown
Andrew_Symonds 	id00525 	n000525 	m 	dev	australian
Andrew_Trimble 	id00526 	n000526 	m 	dev	irish
Andrew_Upton 	id00527 	n000527 	m 	dev	australian
Andrew_VanWyngarden 	id00528 	n000528 	m 	dev	american
Andrew_W.K. 	id00529 	n000529 	m 	dev	american
Andrew_Zimmern 	id00530 	n000530 	m 	dev	american
Andrey_Amador 	id00531 	n000531 	m 	dev	unknown
Andris_Nelsons 	id00534 	n000534 	m 	dev	latvian
Andriy_Shevchenko 	id00535 	n000535 	m 	dev	ukrainian
André_3000 	id00539 	n000538 	m 	dev	american
André_Breitenreiter 	id00542 	n000541 	m 	dev	german
André_Kuipers 	id00543 	n000542 	m 	dev	dutch
André_Manoukian 	id00544 	n000543 	m 	dev	french
André_Rieu 	id00545 	n000544 	m 	dev	dutch
André_Schürrle 	id00546 	n000545 	m 	dev	german
André_Villas-Boas 	id00548 	n000547 	m 	dev	unsure: chinese / portuguese
Andrés_Guardado 	id00550 	n000550 	m 	dev	unsure: spanish / mexican
Andrés_Manuel_López_Obrador 	id00552 	n000552 	m 	dev	mexican
Andrés_Nocioni 	id00553 	n000553 	m 	dev	italian
Andrés_Velencoso 	id00554 	n000554 	m 	dev	spanish
Andy_Allo 	id00555 	n000555 	m 	dev	american
Andy_Borg 	id00557 	n000557 	m 	dev	austrian
Andy_Burnham 	id00558 	n000558 	m 	dev	british
Andy_Carroll 	id00559 	n000559 	m 	dev	unknown
Andy_Lau 	id00560 	n000560 	m 	dev	unknown
Andy_Reid 	id00561 	n000561 	m 	dev	american
Andy_Roddick 	id00562 	n000562 	m 	test	unsure: french / american
Angel_Locsin 	id00566 	n000566 	f 	dev	unknown
Angel_Porrino 	id00567 	n000567 	f 	dev	american
Angela_Bassett 	id00568 	n000568 	f 	dev	american
Angela_Gheorghiu 	id00569 	n000569 	f 	dev	romanian
Angela_Gossow 	id00570 	n000570 	f 	dev	unsure: german / swedish
Angela_Groothuizen 	id00571 	n000571 	f 	dev	dutch
Angela_Martini 	id00573 	n000573 	f 	dev	albanian
Angela_Rippon 	id00574 	n000574 	f 	dev	unknown
Angela_Sarafyan 	id00575 	n000575 	f 	dev	unsure: armenian / american
Angela_Simmons 	id00577 	n000577 	f 	dev	unknown
Angela_Yee 	id00578 	n000578 	f 	dev	unsure: chinese / american
Angelababy 	id00579 	n000579 	f 	dev	chinese
Angelica_Celaya 	id00581 	n000581 	f 	dev	unknown
Angelica_Panganiban 	id00582 	n000582 	f 	dev	filipino
Angelique_Kerber 	id00584 	n000584 	f 	dev	german
Angelique_Morgan 	id00585 	n000585 	f 	dev	french
Angelo_Mathews 	id00586 	n000586 	m 	dev	unknown
Angelo_Scola 	id00587 	n000587 	m 	dev	italian
Angham 	id00588 	n000588 	f 	dev	egyptian
Angie_Cepeda 	id00589 	n000589 	f 	dev	colombian
Angie_Everhart 	id00591 	n000591 	f 	dev	american
Angie_Motshekga 	id00592 	n000592 	f 	dev	unknown
Angie_Stone 	id00593 	n000593 	f 	dev	american
Angus_Deayton 	id00594 	n000594 	m 	dev	unknown
Angélique_Kidjo 	id00596 	n000596 	m 	dev	beninese
Anifah_Aman 	id00597 	n000597 	m 	dev	malaysian
Anita_Włodarczyk 	id00607 	n000607 	f 	dev	polish
Anja_Kling 	id00608 	n000608 	f 	dev	german
Anjali 	id00610 	n000610 	f 	dev	indian
Anjana_Sukhani 	id00611 	n000611 	f 	dev	indian
Anjelah_Johnson 	id00612 	n000612 	f 	dev	unsure: vietnamese / american
Anjelica_Huston 	id00613 	n000613 	f 	dev	american
Anke_Engelke 	id00614 	n000614 	f 	dev	unsure: german / canadian
Anke_Huber 	id00615 	n000615 	f 	dev	unsure: australian / german
Ann_Curry 	id00616 	n000616 	f 	dev	american
Anna-Maria_Zimmermann 	id00617 	n000639 	f 	dev	german
AnnaLynne_McCord 	id00618 	n000640 	f 	dev	american
Anna_Bligh 	id00620 	n000618 	f 	dev	australian
Anna_Chakvetadze 	id00621 	n000619 	f 	dev	unsure: australian / russian / french / georgian
Anna_Chlumsky 	id00622 	n000620 	f 	dev	american
Anna_Finocchiaro 	id00623 	n000621 	f 	dev	italian
Anna_Hutchison 	id00624 	n000622 	f 	dev	unknown
Anna_Karina 	id00628 	n000626 	f 	dev	unsure: danish / french
Anna_Kinberg_Batra 	id00629 	n000627 	f 	dev	swedish
Anna_Loos 	id00631 	n000629 	f 	dev	german
Anna_Maria_Mühe 	id00632 	n000630 	f 	dev	german
Anna_Meares 	id00633 	n000631 	f 	dev	australian
Anna_Mouglalis 	id00634 	n000632 	f 	dev	french
Anna_Nalick 	id00636 	n000634 	f 	dev	american
Anna_Nordqvist 	id00637 	n000635 	f 	dev	swedish
Anna_Puu 	id00638 	n000636 	f 	dev	finnish
Annabelle_Mandeng 	id00641 	n000641 	f 	dev	unknown
Anne_Princess_Royal 	id00642 	n000658 	f 	dev	unknown
Anne-Marie_Duff 	id00643 	n000659 	f 	dev	unknown
Anne-Sophie_Briest 	id00644 	n000660 	f 	dev	unknown
Anne-Sophie_Lapix 	id00645 	n000661 	f 	dev	french
Anne_Curtis 	id00647 	n000643 	f 	dev	unsure: filipino / australian
Anne_Dudek 	id00648 	n000644 	f 	dev	american
Anne_Heche 	id00649 	n000645 	f 	dev	american
Anne_Hidalgo 	id00650 	n000646 	f 	dev	unsure: spanish / french
Anne_Igartiburu 	id00651 	n000647 	f 	dev	spanish
Anne_Kirkbride 	id00652 	n000648 	f 	dev	unknown
Anne_Kukkohovi 	id00653 	n000649 	f 	dev	finnish
Anne_Lauvergeon 	id00654 	n000650 	f 	dev	french
Anne_Linnet 	id00655 	n000651 	f 	dev	danish
Anne_Robinson 	id00656 	n000652 	f 	dev	british
Anne_Roumanoff 	id00657 	n000653 	f 	dev	french
Anne_Sinclair 	id00659 	n000655 	f 	dev	unsure: french / american
Annemarie_Eilfeld 	id00663 	n000663 	f 	dev	german
Annemarie_Jorritsma 	id00664 	n000664 	f 	dev	dutch
